Config,Model,R2,MAE,RMSE,AUC
L1: Spotify,Linear Regression,0.0837,13.163,15.899,0.6319
L1: Spotify,Random Forest,0.1943,12.139,14.909,0.7099
L1: Spotify,XGBoost,0.1972,12.043,14.881,0.7123
L1: Spotify,LightGBM,0.1954,12.099,14.899,0.7094
L2a: Internal,Linear Regression,0.8624,3.583,6.161,0.9687
L2a: Internal,Random Forest,0.8541,3.458,6.343,0.9666
L2a: Internal,XGBoost,0.8547,3.432,6.332,0.9668
L2a: Internal,LightGBM,0.8601,3.378,6.213,0.9682
L2b: External,Linear Regression,0.1812,12.344,15.03,0.6979
L2b: External,Random Forest,0.4819,9.377,11.955,0.8478
L2b: External,XGBoost,0.2768,11.471,14.124,0.7391
L2b: External,LightGBM,0.4129,10.127,12.726,0.8144
L3a: Librosa,Linear Regression,0.1068,12.841,15.697,0.6742
L3a: Librosa,Random Forest,0.1711,12.273,15.122,0.7113
L3a: Librosa,XGBoost,0.1827,12.042,15.015,0.7167
L3a: Librosa,LightGBM,0.1873,12.053,14.973,0.7194
L3b: VGGish,Linear Regression,0.1866,12.107,14.979,0.7158
L3b: VGGish,Random Forest,0.2517,11.425,14.368,0.7575
L3b: VGGish,XGBoost,0.2528,11.305,14.358,0.7565
L3b: VGGish,LightGBM,0.2495,11.376,14.389,0.7539
L3c: CLAP,Linear Regression,0.2277,11.653,14.596,0.7402
L3c: CLAP,Random Forest,0.233,11.639,14.546,0.7431
L3c: CLAP,XGBoost,0.2438,11.411,14.444,0.7471
L3c: CLAP,LightGBM,0.2421,11.468,14.46,0.7467
L4: Text,Linear Regression,0.1928,11.968,14.923,0.7271
L4: Text,Random Forest,0.2938,11.003,13.958,0.785
L4: Text,XGBoost,0.2903,10.953,13.992,0.7783
L4: Text,LightGBM,0.28,11.115,14.093,0.7714
L1+L2a+L2b,Linear Regression,0.863,3.584,6.148,0.9689
L1+L2a+L2b,Random Forest,0.8671,3.361,6.055,0.9701
L1+L2a+L2b,XGBoost,0.8666,3.387,6.066,0.97
L1+L2a+L2b,LightGBM,0.8726,3.313,5.927,0.9716
L1+L3a,Linear Regression,0.1745,12.333,15.09,0.7104
L1+L3a,Random Forest,0.2339,11.841,14.538,0.7375
L1+L3a,XGBoost,0.2994,11.112,13.902,0.7694
L1+L3a,LightGBM,0.299,11.148,13.906,0.7688
L1+L3b,Linear Regression,0.2426,11.674,14.455,0.743
L1+L3b,Random Forest,0.3014,11.152,13.882,0.7713
L1+L3b,XGBoost,0.353,10.524,13.36,0.7951
L1+L3b,LightGBM,0.3466,10.633,13.426,0.7901
L1+L3c,Linear Regression,0.2778,11.295,14.115,0.7636
L1+L3c,Random Forest,0.279,11.333,14.103,0.7584
L1+L3c,XGBoost,0.3379,10.706,13.515,0.7845
L1+L3c,LightGBM,0.3374,10.704,13.52,0.7852
L1+L4,Linear Regression,0.2427,11.594,14.454,0.7504
L1+L4,Random Forest,0.3039,11.08,13.858,0.7749
L1+L4,XGBoost,0.364,10.411,13.245,0.8039
L1+L4,LightGBM,0.3579,10.534,13.309,0.797
L1+L3a+L4,Linear Regression,0.2827,11.228,14.067,0.7738
L1+L3a+L4,Random Forest,0.3266,10.886,13.63,0.7873
L1+L3a+L4,XGBoost,0.4027,10.086,12.837,0.8198
L1+L3a+L4,LightGBM,0.4013,10.113,12.852,0.8172
L1+L3b+L4,Linear Regression,0.3238,10.867,13.658,0.7905
L1+L3b+L4,Random Forest,0.3569,10.586,13.32,0.8007
L1+L3b+L4,XGBoost,0.4369,9.724,12.464,0.8355
L1+L3b+L4,LightGBM,0.4316,9.808,12.522,0.8301
L1+L3c+L4,Linear Regression,0.3477,10.629,13.415,0.8013
L1+L3c+L4,Random Forest,0.3573,10.55,13.316,0.7999
L1+L3c+L4,XGBoost,0.429,9.779,12.551,0.8287
L1+L3c+L4,LightGBM,0.4299,9.811,12.541,0.8282
Content (all-context),Linear Regression,0.3582,10.516,13.306,0.8066
Content (all-context),Random Forest,0.3636,10.49,13.25,0.8031
Content (all-context),XGBoost,0.4439,9.657,12.385,0.8335
Content (all-context),LightGBM,0.4422,9.686,12.405,0.8339
FULL (all),Linear Regression,0.8664,3.852,6.071,0.9703
FULL (all),Random Forest,0.8862,3.156,5.604,0.9742
FULL (all),XGBoost,0.8948,3.152,5.386,0.9762
FULL (all),LightGBM,0.895,3.107,5.381,0.9763
Content (no PCA),Random Forest,0.3636,10.49,13.25,0.8031
Content (no PCA),XGBoost,0.4439,9.657,12.385,0.8335
Content (no PCA),LightGBM,0.4422,9.686,12.405,0.8339
Content (PCA),Random Forest,0.3771,10.345,13.108,0.8095
Content (PCA),XGBoost,0.4413,9.685,12.415,0.8358
Content (PCA),LightGBM,0.4356,9.726,12.478,0.8321
FULL (no PCA),Random Forest,0.8862,3.156,5.604,0.9742
FULL (no PCA),XGBoost,0.8948,3.152,5.386,0.9762
FULL (no PCA),LightGBM,0.895,3.107,5.381,0.9763
FULL (PCA),Random Forest,0.8866,3.137,5.593,0.9747
FULL (PCA),XGBoost,0.8942,3.132,5.402,0.9768
FULL (PCA),LightGBM,0.8952,3.115,5.377,0.9761
Stacking,Stacking,0.8969,3.088,0.0,0.9767
Tuned XGBoost,Tuned XGBoost,0.8967,3.094,0.0,0.9768
